itemCode,itemDescription,averageCost,supplier,assortmentType
01110030001913,Chicken Teriyaki Sandwich Q,25.232100,QBites Inc.,In assortment
01110030001916,Creamy Pesto Pasta (Q),25.723200,QBites Inc.,In assortment
01110030002106,MD Buttered Toast,8.035700,Deliscents, Inc,In assortment
01110030002121,Creamy Tuna Pasta,33.928500,Beatrice Kitchen Inc.,In assortment
01110030002122,Chicken Adobo Pandesal,18.750000,Gourmet's Farms, Inc,In assortment
01110030002123,Tuna Dill Pandesal,18.750000,Gourmet's Farms, Inc,In assortment
01110030002124,Bacon and Cheese Pandesal,18.750000,Gourmet's Farms, Inc,In assortment
01110030002140,Sauce Katsu Don,66.964300,KATSUCUISINE INC.,In assortment
01110030002141,Tori Karaage Don,66.964300,KATSUCUISINE INC.,In assortment
01110030002142,Chicken Teriyaki Don,66.964200,KATSUCUISINE INC.,In assortment
01110030002143,Katsu Sandwich,44.642800,KATSUCUISINE INC.,In assortment
01110030002166,Chicken Cheese Burger,31.571400,QBites Inc.,In assortment
01110030002197,Pork Mechado P59,32.082600,LAWSON,Out of assortment
01110030002198,Chicken Asado P59,32.060400,LAWSON,Out of assortment
01110030002199,Beef Picadillo P59,28.275000,LAWSON,Out of assortment
01110030002200,Chili Con Carne P59,28.052700,LAWSON,Out of assortment
01110030002201,Chicken Adobo P59,33.044400,LAWSON,Out of assortment
01110030002202,Fiesta Menudo P59,33.044400,LAWSON,Out of assortment
01110030002203,Salisbury Steak P59,32.558200,LAWSON,Out of assortment
01110030002204,Pork Steak P69,33.360700,LAWSON,Out of assortment
01110030002205,Chicken Afritada P69,33.630700,LAWSON,Out of assortment
01110030002221,Pork Sisig P69,33.216187,LAWSON,In assortment
01110030002222,Chicken Sisig P69,33.210666,LAWSON,In assortment
01110030002223,Pork Giniling P59,30.261700,LAWSON,Out of assortment
01110030002237,Monde Cookies & Cream,23.214200,QBites Inc.,In assortment
01110030002238,Monde Chocolate Mousse,23.214200,QBites Inc.,In assortment
01110030002239,Monde Dulce de Leche,22.321400,QBites Inc.,Out of assortment
01110030002276,Pork Mechado  Disposal 1 svg,25.704800,LAWSON,In assortment
01110030002277,Chicken Asado  Disposal 1 svg,25.682600,LAWSON,In assortment
